Getting repos in ODI org...
there are this many repos: 335
theodi/public-displays,"Enable your spaces to have professional looking public displays using this simplistic application. You can have multiple screens running multiple playlists and even provide instant control to change displayed content or just make all the displays show your company logo.",2013-01-23 10:18:32 UTC,2013-11-11 10:28:12 UTC
theodi/public-keys,"Public SSH keys for ODI people",2013-01-23 11:10:56 UTC,2017-08-23 09:45:23 UTC
theodi/open-orgn-services,"Services that support ODI's operation as an open organisation.",2013-01-29 07:36:43 UTC,2017-01-04 09:23:36 UTC
theodi/csv-profiler,"An experimental project in Ruby for profiling the contents of CSV files",2013-01-29 11:21:06 UTC,2017-01-04 09:16:41 UTC
theodi/odibot,"The hubot for #theodi on irc.freenode.net",2013-01-29 12:11:03 UTC,2015-01-20 15:03:29 UTC
theodi/signin-web,"The web portion of the ODI's staff signin system",2013-02-05 10:31:41 UTC,2014-01-30 05:22:13 UTC
theodi/cuke-chef,"Playing with cucumber-chef 2.1",2013-02-07 21:42:25 UTC,2014-03-28 18:10:58 UTC
theodi/cucumber-chef,"Framework for test-driven infrastructure development",2013-02-09 18:27:14 UTC,2015-06-02 14:21:34 UTC
theodi/bootstrap,"Sleek, intuitive, and powerful front-end framework for faster and easier web development.",2013-02-11 18:34:50 UTC,2013-08-14 10:50:51 UTC
theodi/GuestNet,"The SOWN eduroam GuestNet system",2013-02-15 15:33:50 UTC,2014-07-28 11:02:50 UTC
theodi/member-directory,"The ODI's member directory frontend application",2013-02-21 08:22:33 UTC,2017-03-13 12:10:15 UTC
theodi/vagrant-dev-environment,"We'd like a Vagrant environment we can pass around and provision with Chef.",2013-02-21 09:19:55 UTC,2014-04-21 21:21:44 UTC
theodi/services-manager,"The container that runs jobs in open-orgn-services",2013-02-22 15:01:51 UTC,2016-01-11 10:31:59 UTC
theodi/hot-drinks,"How does everybody take their tea?",2013-02-22 15:15:31 UTC,2016-07-15 10:28:05 UTC
theodi/chef-rvm,"Blunt-instrument RVM installer",2013-02-25 09:42:40 UTC,2014-05-06 10:55:00 UTC
theodi/chef-libcurl,"Simple cookbook for pulling curl dev deps",2013-02-27 11:45:09 UTC,2015-06-02 14:06:27 UTC
theodi/open-data-certificate,"The mark of quality and trust for open data",2013-02-27 14:49:12 UTC,2018-06-21 19:39:28 UTC
theodi/test-data,"Test dataset for playing around with git",2013-03-07 13:48:42 UTC,2013-09-30 13:57:10 UTC
